Month,cents_per_kwh
Oct 2022,15.64
Oct 2022,
Oct 2022,
Sep 2022,16.09
Aug 2022,16.32
Jul 2022,15.94
Jul 2022,
Jul 2022,
Jun 2022,15.4
May 2022,15.39
May 2022,
May 2022,
Apr 2022,14.94
Mar 2022,14.71
Mar 2022,
Mar 2022,
Feb 2022,14.45
Jan 2022,13.83
Dec 2021,13.71
Dec 2021,
Dec 2021,
Nov 2021,13.72
Oct 2021,14.07
Oct 2021,
Oct 2021,
Sep 2021,14.06
Aug 2021,14.14
Jul 2021,13.92
Jul 2021,
Jul 2021,
Jun 2021,13.83
May 2021,13.83
May 2021,
May 2021,
Apr 2021,13.86
Mar 2021,13.73
Mar 2021,
Mar 2021,
Feb 2021,13.24
Jan 2021,13.01
Dec 2020,12.62
Dec 2020,
Dec 2020,
Nov 2020,12.78
Oct 2020,13.31
Oct 2020,
Oct 2020,
Sep 2020,13.66
Aug 2020,13.49
Jul 2020,13.26
Jul 2020,
Jul 2020,
Jun 2020,13.21
May 2020,13.22
May 2020,
May 2020,
Apr 2020,13.1
Mar 2020,13.24
Mar 2020,
Mar 2020,
Feb 2020,13.04
Jan 2020,12.82
Dec 2019,12.76
Dec 2019,
Dec 2019,
Nov 2019,12.68
Oct 2019,13.03
Oct 2019,
Oct 2019,
Sep 2019,12.81
Aug 2019,13.16
Jul 2019,13.3
Jul 2019,
Jul 2019,
Jun 2019,13.26
May 2019,13.32
May 2019,
May 2019,
Apr 2019,13.31
Mar 2019,13.25
Mar 2019,
Mar 2019,
Feb 2019,12.84
Jan 2019,12.72
Dec 2018,12.47
Dec 2018,
Dec 2018,
Nov 2018,12.43
Oct 2018,12.9
Oct 2018,
Oct 2018,
Sep 2018,12.85
Aug 2018,13.01
Jul 2018,13.26
Jul 2018,
Jul 2018,
Jun 2018,13.13
May 2018,13.03
May 2018,
May 2018,
Apr 2018,13.12
Mar 2018,12.88
Mar 2018,
Mar 2018,
Feb 2018,12.97
Jan 2018,12.63
Dec 2017,12.22
Dec 2017,
Dec 2017,
Nov 2017,12.45
Oct 2017,12.94
Oct 2017,
Oct 2017,
Sep 2017,12.8
Aug 2017,13.28
Jul 2017,13.15
Jul 2017,
Jul 2017,
Jun 2017,13.08
May 2017,13.2
May 2017,
May 2017,
Apr 2017,13.07
Mar 2017,12.72
Mar 2017,
Mar 2017,
Feb 2017,12.89
Jan 2017,12.79
Dec 2016,12.21
Dec 2016,
Dec 2016,
Nov 2016,12.23
Oct 2016,12.75
Oct 2016,
Oct 2016,
Sep 2016,12.46
Aug 2016,12.87
Jul 2016,12.88
Jul 2016,
Jul 2016,
Jun 2016,12.68
May 2016,12.73
May 2016,
May 2016,
Apr 2016,12.79
Mar 2016,12.43
Mar 2016,
Mar 2016,
Feb 2016,12.56
Jan 2016,12.14
Dec 2015,11.99
Dec 2015,
Dec 2015,
Nov 2015,12.32
Oct 2015,12.71
Oct 2015,
Oct 2015,
Sep 2015,12.72
Aug 2015,13.03
Jul 2015,12.91
Jul 2015,
Jul 2015,
Jun 2015,12.94
May 2015,12.92
May 2015,
May 2015,
Apr 2015,12.93
Mar 2015,12.62
Mar 2015,
Mar 2015,
Feb 2015,12.33
Jan 2015,12.29
Dec 2014,12.1
Dec 2014,
Dec 2014,
Nov 2014,12.17
Oct 2014,12.48
Oct 2014,
Oct 2014,
Sep 2014,12.6
Aug 2014,12.95
Jul 2014,13.04
Jul 2014,
Jul 2014,
Jun 2014,13.09
May 2014,12.99
May 2014,
May 2014,
Apr 2014,12.85
Mar 2014,12.31
Mar 2014,
Mar 2014,
Feb 2014,12.25
Jan 2014,11.94
Dec 2013,11.65
Dec 2013,
Dec 2013,
Nov 2013,11.72
Oct 2013,12.1
Oct 2013,
Oct 2013,
Sep 2013,12.36
Aug 2013,12.51
Jul 2013,12.53
Jul 2013,
Jul 2013,
Jun 2013,12.65
May 2013,12.54
May 2013,
May 2013,
Apr 2013,12.4
Mar 2013,11.93
Mar 2013,
Mar 2013,
Feb 2013,11.61
Jan 2013,11.63
Dec 2012,11.46
Dec 2012,
Dec 2012,
Nov 2012,11.62
Oct 2012,11.75
Oct 2012,
Oct 2012,
Sep 2012,12.03
Aug 2012,12.3
Jul 2012,12.17
Jul 2012,
Jul 2012,
Jun 2012,12
May 2012,12.09
May 2012,
May 2012,
Apr 2012,11.9
Mar 2012,11.92
Mar 2012,
Mar 2012,
Feb 2012,11.7
Jan 2012,11.51
Dec 2011,11.41
Dec 2011,
Dec 2011,
Nov 2011,11.4
Oct 2011,11.78
Oct 2011,
Oct 2011,
Sep 2011,12.08
Aug 2011,12.17
Jul 2011,12.09
Jul 2011,
Jul 2011,
Jun 2011,12.09
May 2011,11.97
May 2011,
May 2011,
Apr 2011,11.93
Mar 2011,11.67
Mar 2011,
Mar 2011,
Feb 2011,11.52
Jan 2011,11.06
Dec 2010,10.87
Dec 2010,
Dec 2010,
Nov 2010,11.06
Oct 2010,11.62
Oct 2010,
Oct 2010,
Sep 2010,11.86
Aug 2010,11.95
Jul 2010,12.03
Jul 2010,
Jul 2010,
Jun 2010,12.04
May 2010,11.91
May 2010,
May 2010,
Apr 2010,11.91
Mar 2010,11.71
Mar 2010,
Mar 2010,
Feb 2010,11.11
Jan 2010,10.89
Dec 2009,10.49
Dec 2009,
Dec 2009,
Nov 2009,10.9
Oct 2009,11.26
Oct 2009,
Oct 2009,
Sep 2009,11.65
Aug 2009,11.96
Jul 2009,11.94
Jul 2009,
Jul 2009,
Jun 2009,11.85
May 2009,11.81
May 2009,
May 2009,
Apr 2009,11.78
Mar 2009,11.5
Mar 2009,
Mar 2009,
Feb 2009,11.28
Jan 2009,11.18
Dec 2008,10.98
Dec 2008,
